Time,Position y (m),Velocity y (m/s),Moving Average (Velocity) w/ 25 points,Acceleration (m/s^2),Moving Acceleration (m/s^2)
0.008333333,0.000861398,0,,,
0.0125,0.001283587,0.101325445,,,
0.016666667,0.002143622,0.206408464,,,
0.020833333,0.00345888,0.315661756,,,
0.025,0.003857038,0.095558059,,,
0.029166667,0.004170071,0.075127934,,,
0.033333333,0.007473752,0.792883231,,,
0.0375,0.008287016,0.195183402,,,
0.041666667,0.008687602,0.09614074,,,
0.045833333,0.010779172,0.501976781,,,
0.05,0.011921343,0.274121019,,,
0.054166667,0.012650116,0.174905488,,,
0.058333333,0.016537719,0.933024664,,,
0.0625,0.017788092,0.300089722,,,
0.066666667,0.019301281,0.363165341,,,
0.070833333,0.019947891,0.155186426,,,
0.075,0.021610227,0.398960628,,,
0.079166667,0.023295023,0.404350949,,,
0.083333333,0.025851416,0.613534291,,,
0.0875,0.026935151,0.260096355,,,
0.091666667,0.029028545,0.50241473,,,
0.095833333,0.030667966,0.393460839,,,
0.1,0.033185013,0.604091477,,,
0.104166667,0.035493288,0.55398579,,,
0.108333333,0.036240042,0.179221001,0.339634981,,
0.1125,0.038372162,0.511708814,0.360103334,4.912404616,
0.116666667,0.041131988,0.662358344,0.38254465,5.385915832,
0.120833333,0.044420126,0.789153095,0.405854435,5.594348461,
0.125,0.047834405,0.819426859,0.426005039,4.836144986,
0.129166667,0.051943483,0.986178865,0.461629871,8.549959737,
0.133333333,0.055117258,0.761705871,0.489092989,6.59114819,
0.1375,0.067875651,3.062014473,0.579858239,21.78365993,
0.141666667,0.071631283,0.901351505,0.608104963,6.779213788,
0.145833333,0.076047158,1.05981015,0.646651739,9.251226339,
0.15,0.080395134,1.04351416,0.668313234,5.198758837,
0.154166667,0.085314819,1.180724326,0.704577367,8.703391748,
0.158333333,0.090784069,1.312620096,0.750085951,10.92206023,
0.1625,0.096372142,1.341137487,0.766410464,3.917883097,
0.166666667,0.101627471,1.261279059,0.804858037,9.227417644,
0.170833333,0.106944075,1.275985001,0.841370824,8.763068743,
0.175,0.112517216,1.337553816,0.888665519,11.35072695,
0.179166667,0.117148236,1.111444779,0.917164885,6.839847842,
0.183333333,0.122791879,1.35447416,0.955169814,9.121182823,
0.1875,0.127873738,1.219646155,0.979414288,5.818673891,
0.191666667,0.133310851,1.304907155,1.02120672,10.03018369,
0.195833333,0.139091533,1.387363802,1.056604683,8.495511094,
0.2,0.145424761,1.519974679,1.101665237,10.81453286,
0.204166667,0.150786617,1.28684552,1.128975399,6.554438811,
0.208333333,0.157023649,1.496887493,1.166691467,9.051856344,
0.2125,0.163056865,1.44797181,1.217441499,12.18000776,8.42694257
0.216666667,0.169196072,1.473409772,1.255909537,9.2323292,8.599739553
0.220833333,0.17569147,1.558895554,1.291771026,8.606757211,8.728573208
0.225,0.182915166,1.733686975,1.329552381,9.067525245,8.867500279
0.229166667,0.190133885,1.732492688,1.366075014,8.765431964,9.024671759
0.233333333,0.19724474,1.706605078,1.394892063,6.916091643,8.959317035
0.2375,0.205820148,2.058097852,1.446747742,12.44536302,9.193485628
0.241666667,0.21339691,1.818423049,1.397004085,-11.93847767,7.844600124
0.245833333,0.220890182,1.798385265,1.432885435,8.611524096,7.917892537
0.25,0.228997565,1.945771922,1.468323906,8.505233013,7.888052804
0.254166667,0.23657858,1.819443467,1.499361078,7.448921348,7.978059304
0.258333333,0.247060826,2.515739091,1.552761669,12.81614175,8.142569304
0.2625,0.255501339,2.025723262,1.581285796,6.845790401,7.979518511
0.266666667,0.263400409,1.895776739,1.603471366,5.324536823,8.03578466
0.270833333,0.272403934,2.160845873,1.639454038,8.63584141,8.01212161
0.275,0.280150333,1.85913586,1.662780073,5.59824824,7.88552879
